gwas_id_1,gwas_id_2,n_snps,rg,pval,se,z,h2_obs_1,h2_obs_se_1,h2_int_1,h2_int_se_1,h2_obs_2,h2_obs_se_2,h2_int_2,h2_int_se_2,gcov_int,gcov_int_se,trait_abbreviation_1,trait_name_1,collection_1,trait_abbreviation_2,trait_name_2,collection_2
4464,4510,1167788,0.2551458147528432,8.853599899158729e-11,0.039,6.485,0.046857998484505906,0.0026607918696465505,1.0018298266303285,0.007038097315287773,0.043292124464203635,0.002534475450750274,1.0058082299665725,0.006640327545705688,0.06579317741888727,0.005380326232193978,head_pain,Self reported head pain,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4465,4510,1167788,0.6367910769891041,5.114043098285291e-44,0.046,13.915,0.025120988486179382,0.002148375071269318,1.019017363714509,0.006362650101559022,0.043292124464203614,0.002583757516572651,1.005808229966573,0.006888901927278292,0.13701145211654822,0.005229172716769277,hip_pain,Self reported hip pain,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4466,4510,1167788,0.9897381011700588,0.0,0.02,49.255,0.03930486657269858,0.002422878743910816,1.0187177618089567,0.007776610992920922,0.0432921244642035,0.0026533150193398716,1.0058082299665727,0.0069071117639132006,0.5236402685683232,0.005839522911818649,knee_pain,Self reported knee pain,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4467,4510,1167788,0.4750312957820213,5.1296458555254114e-18,0.055,8.65,0.019760003658095562,0.002260134382730362,1.0134105402629794,0.007098410253997641,0.043292124464202636,0.0027580921965493933,1.0058082299665767,0.006986609223587231,0.05241560999571848,0.0052702901579807625,stomach_pain,Self reported stomach pain,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4507,4510,1168023,0.7019648637209394,8.175099351194269e-51,0.047,14.993,0.023503510207850995,0.002349493612705909,1.0209932070260042,0.007149552000596623,0.04326298025229218,0.002615735419612811,1.005925367742378,0.007335001206063119,0.23665881259797564,0.005362302909389987,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4508,4510,1168023,0.5590676668755614,1.7446905122188195e-60,0.034,16.406,0.042162963743640584,0.0027167405814855074,1.0166844252445226,0.006964847077031132,0.04326298025229174,0.0025822076732159222,1.0059253677423787,0.007025691705002879,0.20602761105002046,0.004931857638215979,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4509,4510,1168023,0.635636945383007,1.2453071136253873e-51,0.042,15.117,0.03173045389771747,0.002355996177599938,1.0165006652665696,0.007747257492766005,0.04326298025229239,0.0026244794014174664,1.0059253677423774,0.007060956255847619,0.1891829178958638,0.005369675451613632,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4461,4511,1167788,0.391971119217036,7.695969900479548e-21,0.042,9.364,0.039410193863022795,0.002582584449415791,1.0242224079833095,0.008272274344159789,0.0321274583003422,0.0023598840723098695,1.0167750590350493,0.006652504060959295,0.053692071409414094,0.004965641491677235,back_pain,Self reported back pain,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4462,4511,1167788,0.44152590162394695,4.325389303413505e-23,0.045,9.896,0.03481584347984019,0.0022571103405692634,1.0191642326057395,0.006827655651721495,0.03212745830034193,0.0025461793350250615,1.0167750590350513,0.007353342471168395,0.09403744029859541,0.005049023727419912,neck_pain,Self reported neck pain,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4463,4511,1167788,0.3498870833503783,0.0007178561115406977,0.103,3.383,0.007216179046463265,0.00183438931405362,1.0037598059869055,0.006791803239501261,0.032127458300341166,0.002402827513469204,1.0167750590350535,0.007221666983515945,0.0716778130911662,0.005386231584712842,facial_pain,Self reported facial pain,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4464,4511,1167788,0.9460884881611542,0.0,0.025,37.771,0.046857998484506176,0.00286545370209594,1.0018298266303272,0.007292539799402176,0.03212745830034084,0.0024684261402928395,1.016775059035055,0.0066065655455363895,0.3745688380457718,0.0060258126619366255,head_pain,Self reported head pain,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4465,4511,1167788,0.295083488709925,7.902905424375108e-09,0.051,5.771,0.025120988486178844,0.0022698625363924275,1.0190173637145108,0.006512965671709991,0.03212745830034071,0.0025878775843933247,1.0167750590350544,0.007061503933488408,0.0419653410752851,0.004874135260211415,hip_pain,Self reported hip pain,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4466,4511,1167788,0.24339936008764124,3.3882928485913013e-08,0.044,5.52,0.03930486657269847,0.002437534011081866,1.0187177618089576,0.007954787717356086,0.03212745830034144,0.0026580503395003986,1.0167750590350524,0.007876328832763648,0.03762497501514616,0.005009756391224005,knee_pain,Self reported knee pain,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4467,4511,1167788,0.4807770030028405,1.0150127518557057e-15,0.06,8.025,0.019760003658096596,0.0020659693391403,1.013410540262975,0.006901801967565386,0.03212745830034126,0.0024906988783759774,1.0167750590350522,0.0071950294442984855,0.08137739155484815,0.004565359605744925,stomach_pain,Self reported stomach pain,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4507,4511,1168023,0.30786450233553,8.56620219872559e-08,0.057,5.355,0.023503510207851217,0.0021693883841521753,1.020993207026003,0.007280653210307037,0.032164388030102464,0.0025708155181982805,1.016616512934576,0.007250199829234011,0.07577001801902764,0.004953298666291802,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4508,4511,1168023,0.38588532615648025,2.829970083540623e-23,0.039,9.939,0.042162963743639585,0.002724614443874409,1.0166844252445262,0.007253395746279864,0.03216438803010183,0.0027973389598236575,1.0166165129345786,0.007842272378911838,0.13369261843555838,0.00490130045522778,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4509,4511,1168023,0.4310609529776032,3.6154216180565673e-28,0.039,11.005,0.031730453897717545,0.0023133095014420883,1.0165006652665702,0.007640087171212214,0.03216438803010137,0.002544558826757115,1.01661651293458,0.007245660328444867,0.19502402498077429,0.004989010930917258,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4510,4511,1168023,0.25774031631792904,1.2395786482889012e-10,0.04,6.434,0.04326298025229196,0.0026157059805997575,1.0059253677423787,0.00709407079674856,0.032164388030102006,0.002427682235778231,1.016616512934577,0.007210138467565743,0.07778924995944439,0.004718800861705593,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3,Chronic_head_pain_discovery_2650K,Self reported chronic head pain discovery 265K,PAIN-3
4461,4512,1167788,0.53320415293852,0.014815337428189112,0.219,2.437,0.039410193863023385,0.002480102589198261,1.0242224079833064,0.007872481000032358,0.0023813100939531102,0.0016553711623152455,1.005227544646554,0.005904429068711212,0.03379005018853076,0.004839864307517945,back_pain,Self reported back pain,PAIN-3,Chronic_face_pain_discovery_265K,Self reported chronic face pain discovery 265K,PAIN-3
4462,4512,1167788,0.8924167079483962,0.00932588002235028,0.343,2.6,0.03481584347984121,0.0022313481431711223,1.0191642326057364,0.007151339268222943,0.00238131009395269,0.0016108422365788096,1.005227544646556,0.005991638530625467,0.04726108942587856,0.004635297823750545,neck_pain,Self reported neck pain,PAIN-3,Chronic_face_pain_discovery_265K,Self reported chronic face pain discovery 265K,PAIN-3
